Date,Bike,Activity,Cost,Shop,Mileage_At_Service
12/14/2025,Torelli,New Pacenti Brevet wheels,265.00,Pacenti Cycle Design,10945.5
9/11/2025,Tommaso 2,New Chain,46.00,Penn State Bikes,3038.9
6/28/2025,Tommaso 2,Replaced front derailleur cable,25.00,Bikeway Mahopac,2642.1
6/27/2025,Tommaso 2,Rotate Kenda tires,0.00,,2580.6
6/24/2025,Cannondale M700,Mounting issue with new Schwalbe tire on new rear wheel,32.60,Master Bike Shop,2094.5
6/23/2025,Cannondale M700,Service (details not recorded),234.10,Master Bike Shop,2094.5
6/23/2025,Cannondale M700,Schwalbe Hurricane RaceGuard Tires installed,90.00,Amazon Marketplace,2094.5
6/23/2025,Cannondale M700,Ergon GP5 Handlebar Grips,79.95,REI,2094.5
6/7/2025,Cannondale ST400,Put original wheels back on,0.00,,6368.6
5/26/2025,Torelli,New Pacenti wheel build; rear campy hub overhauled — Spoke Sapim Leader SL 2.0 298/300,344.05,Bicycles NYC,10570.1
5/26/2025,Cannondale ST400,Repacked old rear hub; replaced cone — in effort to get knocking sound to go away,54.44,Bicycles NYC,6367.8
4/28/2025,Cannondale ST400,Swapped original wheels for new wheels again,0.00,,6302.0
4/6/2025,Cannondale M700,Replaced rear tire (Panaracer smoke) with Pisgah replacement,0.00,,1815.3
4/6/2025,Cannondale M700,Rear wheel true up; fixed loose freewheel,43.55,Bicycles NYC,1815.3
3/3/2025,Cannondale ST400,New wheel build: front rim with straight spokes; original front hub after accident (wanted butted spokes but used straight; took $40 off),207.14,Bicycles NYC,6165.0
12/7/2024,Cannondale M700,New Sunlite water bottle cages,21.76,Amazon.com,1302.0
11/29/2024,Cannondale M700,Repacked rear Sachs hub bearings; replaced balls — front hub OK; does not require overhaul,97.99,Bicycles NYC,1233.0
11/24/2024,Tommaso 2,Cateye Urban wireless computer — previous Strata computer was defective,44.95,Amazon,2394.0
11/24/2024,Cannondale M700,New Cateye Urban wireless bike computer,44.95,Amazon.com,1175.0
11/16/2024,Cannondale ST400,New bottom bracket — SUNLT SL26 68x127 SQ STL-CUP ENG,54.99,Bicycles NYC,6155.0
10/27/2024,Cannondale ST400,Swapped new wheels for original wheels with Vittoria tires,0.00,,6007.0
10/12/2024,Torelli,Replace spoke on rear wheel non-drive side (Eastons),34.84,Bicycles NYC,13825.0
9/7/2024,Cannondale ST400,Left pedal overhaul again — one side only had 10 balls (should have been 11),0.00,,5592.0
8/6/2024,Cannondale ST400,Panaracer Pasela Protite Urban/Touring Folding tires 27x1.25,70.00,Amazon,5286.0
7/13/2024,Cannondale ST400,Overhauled both pedals again (probably too early — maybe every 5k miles?),0.00,,4986.0
4/14/2024,Tommaso,New Vittoria Zaffiro Pro tires 700x25c,71.84,Amazon.com,5008.0
4/12/2024,Tommaso 2,Replaced rear derailleur cable,9.00,Bicycles NYC,1244.0
10/31/2023,Cannondale ST400,Vittoria Zaffiro Rigid Tires 27x1 1/8,65.30,Amazon,3083.1
10/28/2023,Torelli,New Campagnolo cables and cable housings; new brake pads; replaced barrel adjusters; new handlebar tape,238.40,Bicycles NYC,13141.0
10/15/2023,Giant Boulder Jr.,New rear tube,9.80,Bicycles NYC,3163.0
10/12/2023,Torelli,Swapped front and back tires,0.00,,13825.0
10/9/2023,Cannondale ST400,Velox wheel tape,15.98,Bicycles NYC,2905.8
10/9/2023,Cannondale ST400,Rebuilt rear wheel true up,32.00,Bicycles NYC,2905.8
9/10/2023,Cannondale ST400,DT Swiss Competition Spokes for old rear wheel 296mm,104.50,Amazon,2730.0
8/10/2023,Cannondale ST400,New front and back wheels — too many spokes breaking; refused to rebuild wheels,335.30,Bicycles NYC,2661.0
7/16/2023,Cannondale ST400,Replace 1 spoke non-drive side rear wheel 296mm (only had them in black),34.84,Bicycles NYC,2536.0
7/16/2023,Cannondale ST400,Rotate tires,0.00,,2536.0
7/13/2023,Cannondale ST400,New bike seat (already had 400 miles on it),90.00,Torelli,2498.0
6/10/2023,Cannondale ST400,Overhauled both pedals; replaced balls in bearings,0.00,,2286.0
5/27/2023,Tommaso 2,Assembly and pedals with cages,106.98,Pedals & Petals,0.0
5/21/2023,Cannondale ST400,Replace 2 spokes on front wheel and true it — front spokes are 300mm,34.00,Bicycles NYC,2158.0
4/30/2023,Cannondale ST400,Overhauled front wheel bearing; replaced 10 balls on right side,0.00,,1952.0
4/11/2023,Tommaso 2,Original purchase with 2 bottle cages; shipped to Pedals & Petals for assembly,1174.97,Tomasso,0.0
3/11/2023,Tommaso,New rear derailleur — Tiagra 4700 10s GS,42.15,Amazon.com,4254.0
3/11/2023,Tommaso,New derailleur hanger,20.00,Tommasso,4254.0
3/11/2023,Tommaso,New rear derailleur cable; install,28.00,Bicycles NYC,4254.0
3/11/2023,Tommaso,New water bottle cage,29.99,Tommasso,4254.0
3/5/2023,Cannondale ST400,Ritchey seatpost 27.2mm 350mm,40.99,Performance,1500.0
2/11/2023,Cannondale ST400,Headset replacement,59.87,Bicycles NYC,1400.0
12/31/2022,Liv City,New rear brake pads,13.85,Amazon.com,2445.0
12/31/2022,Liv City,Rotated tires front to back,0.00,,2445.0
10/24/2022,Cannondale ST400,True front and rear wheels; replace broken spoke in rear,56.00,Bicycles NYC,694.1
10/22/2022,Cannondale ST400,Zefal leather toe straps,15.39,Amazon,693.1
8/2/2022,Torelli,New Torelli Bormio seat (free from Todd),0.00,Torelli,12333.0
6/6/2022,Torelli,New front derailleur cable,45.73,Bicycles NYC,11471.0
1/8/2022,Torelli,Headset overhaul — bottom bracket and wheels all have cartridge bearings,59.88,Conrad's Bike Shop,10798.0
10/9/2021,Torelli,Cinelli Vai Folli seatpost 27.2mm — original Athena seatpost cracked,79.99,Amazon.com,10207.0
9/26/2021,Torelli,Vittoria Rubino Pro Road Tire 700x25c,79.98,Performance Bike,10082.0
9/15/2021,Torelli,Wahoo Speedplay Zero stainless steel pedals and cleats,230.00,REI,10207.0
8/28/2021,Torelli,Campagnolo Record 9 Speed chain,40.99,Performance Bike,6181.9
6/27/2021,Cannondale ST400,Complete overhaul: new tires; new brake pads; new cables etc.,504.02,"Pedals & Petals, Inlet NY",0.0
6/19/2021,Tommaso,New derailleur hanger; true rear wheel,47.22,Bicycles NYC,2450.6
6/1/2021,Torelli,New Torelli Bormio XC seat,85.00,Torelli,5495.6
6/1/2021,Cannondale ST400,New bike seat,88.58,Torelli,0.0
6/1/2021,Cannondale M700,New bike seat,88.58,Torelli,564.7
5/31/2021,Tommaso,Adjust rear derailleur hanger (was bent),16.33,Bicycles NYC,2156.4
